cell_id,label,susceptibility_probability,susceptibility_category,susceptibility_alert,decision_threshold,model_name
409_663,1,0.9178297313797311,VERY_HIGH,1,0.45,RandomForest
410_480,1,0.9186420550038201,VERY_HIGH,1,0.45,RandomForest
410_491,1,0.9351501438806678,VERY_HIGH,1,0.45,RandomForest
410_662,1,0.9098061660561664,VERY_HIGH,1,0.45,RandomForest
410_712,0,0.0025217983651226157,LOW,0,0.45,RandomForest
411_386,1,0.939573860817588,VERY_HIGH,1,0.45,RandomForest
412_399,1,0.941414677757958,VERY_HIGH,1,0.45,RandomForest
412_530,1,0.6059922448352686,HIGH,1,0.45,RandomForest
412_660,1,0.7799751083404473,VERY_HIGH,1,0.45,RandomForest
413_231,0,0.03449648358328609,LOW,0,0.45,RandomForest
413_476,1,0.90737091503268,VERY_HIGH,1,0.45,RandomForest
413_656,1,0.8911963980463978,VERY_HIGH,1,0.45,RandomForest
413_847,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
414_365,1,0.9627665109567438,VERY_HIGH,1,0.45,RandomForest
414_425,1,0.9853988095238095,VERY_HIGH,1,0.45,RandomForest
415_392,1,0.9864543425644489,VERY_HIGH,1,0.45,RandomForest
416_384,1,0.9596771250842677,VERY_HIGH,1,0.45,RandomForest
418_645,1,0.8449511599511602,VERY_HIGH,1,0.45,RandomForest
419_394,1,0.9764887605042016,VERY_HIGH,1,0.45,RandomForest
419_1157,0,0.003740052333376584,LOW,0,0.45,RandomForest
420_476,0,0.06222532125874672,LOW,0,0.45,RandomForest
422_365,1,0.9797979974160207,VERY_HIGH,1,0.45,RandomForest
424_174,0,0.7264452494411777,HIGH,1,0.45,RandomForest
424_402,1,0.954893231453338,VERY_HIGH,1,0.45,RandomForest
425_362,1,0.8973909003464239,VERY_HIGH,1,0.45,RandomForest
425_396,1,0.5739506882006883,HIGH,1,0.45,RandomForest
425_431,1,0.9297824899574902,VERY_HIGH,1,0.45,RandomForest
426_225,0,0.04041683641885632,LOW,0,0.45,RandomForest
426_461,1,0.9787394159900492,VERY_HIGH,1,0.45,RandomForest
426_780,0,0.005621798365122615,LOW,0,0.45,RandomForest
427_810,0,0.0013955357388599895,LOW,0,0.45,RandomForest
427_1149,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
428_451,1,0.988978013993353,VERY_HIGH,1,0.45,RandomForest
428_454,1,0.9358014942952212,VERY_HIGH,1,0.45,RandomForest
429_1090,0,2.1798365122615804e-05,LOW,0,0.45,RandomForest
430_437,1,0.860498456944433,VERY_HIGH,1,0.45,RandomForest
431_493,1,0.9674848458734008,VERY_HIGH,1,0.45,RandomForest
431_668,1,0.6687956685450929,HIGH,1,0.45,RandomForest
435_1590,0,0.11688333333333335,LOW,0,0.45,RandomForest
437_491,1,0.9716939984399746,VERY_HIGH,1,0.45,RandomForest
441_401,0,0.6312118665648082,HIGH,1,0.45,RandomForest
443_1108,0,2.1798365122615804e-05,LOW,0,0.45,RandomForest
445_369,1,0.9793624999999999,VERY_HIGH,1,0.45,RandomForest
445_447,1,0.9080366385092449,VERY_HIGH,1,0.45,RandomForest
446_347,1,0.8587774170274173,VERY_HIGH,1,0.45,RandomForest
446_365,1,0.9490832806672523,VERY_HIGH,1,0.45,RandomForest
447_1052,0,0.004105131698455949,LOW,0,0.45,RandomForest
448_373,1,0.9487420409771478,VERY_HIGH,1,0.45,RandomForest
448_377,1,0.9812937743966134,VERY_HIGH,1,0.45,RandomForest
448_400,1,0.9637218614718619,VERY_HIGH,1,0.45,RandomForest
449_361,1,0.9441066389222688,VERY_HIGH,1,0.45,RandomForest
449_400,1,0.9575456709956714,VERY_HIGH,1,0.45,RandomForest
449_1054,0,0.0013955357388599895,LOW,0,0.45,RandomForest
450_489,1,0.8378530943890174,VERY_HIGH,1,0.45,RandomForest
