hotspot_id,event_count,latitude,longitude,hotspot_score,hotspot_category
662_3009,2,3009571.6875540814,662455.8288682775,25.0,MODERATE
662_3013,1,3013636.157336359,662896.6509209833,12.5,LOW
662_3020,1,3020017.9342473047,662504.7029958924,12.5,LOW
662_3029,3,3029760.43307659,662166.4610094278,37.5,MODERATE
662_3030,1,3030084.324659482,662130.3231349268,12.5,LOW
662_3048,3,3048382.652520273,662351.5000175881,37.5,MODERATE
662_3049,1,3049018.8264186163,662664.9922758674,12.5,LOW
663_3008,1,3008976.360508483,663489.056588355,12.5,LOW
663_3010,1,3010164.3649947904,663145.8632987931,12.5,LOW
663_3011,1,3011980.485273973,663622.8365826638,12.5,LOW
663_3023,1,3023994.219032949,663167.1301270253,12.5,LOW
663_3024,1,3024006.044705716,663131.2472319537,12.5,LOW
663_3027,1,3027956.641464886,663697.3412687174,12.5,LOW
663_3048,2,3048856.5017410037,663302.2153849772,25.0,MODERATE
663_3049,1,3049677.385819155,663344.7555915617,12.5,LOW
663_3050,1,3050595.2163048107,663154.1846713396,12.5,LOW
663_3051,2,3051239.9564781925,663145.59098249,25.0,MODERATE
663_3052,1,3052908.133889106,663243.9606548151,12.5,LOW
663_3054,1,3054986.1414651405,663026.9782197973,12.5,LOW
663_3055,2,3055360.4484846983,663401.7246001286,25.0,MODERATE
664_3009,3,3009775.105819221,664517.3899898077,37.5,MODERATE
664_3010,1,3010102.7715763547,664247.517360373,12.5,LOW
664_3011,1,3011983.7084877794,664101.5610801072,12.5,LOW
664_3015,1,3015323.2805753457,664326.9198766876,12.5,LOW
664_3016,1,3016000.211571482,664309.7175072003,12.5,LOW
665_3009,1,3009893.616002339,665136.5494785609,12.5,LOW
665_3010,2,3010519.060348185,665837.0071475478,25.0,MODERATE
665_3028,1,3028733.5886851964,665863.4514413904,12.5,LOW
666_3010,1,3010439.7428923855,666385.0648199208,12.5,LOW
666_3028,4,3028600.032154391,666350.2565371477,50.0,HIGH
666_3057,1,3057138.610617998,666282.7332702496,12.5,LOW
667_3010,1,3010273.933453899,667288.8938721095,12.5,LOW
667_3015,1,3015556.684579828,667726.760910339,12.5,LOW
667_3016,1,3016049.1465524714,667956.6780672715,12.5,LOW
667_3028,2,3028638.752028219,667160.3734668469,25.0,MODERATE
667_3029,3,3029710.060423897,667432.103815555,37.5,MODERATE
667_3057,2,3057299.627374312,667137.2512186356,25.0,MODERATE
668_3012,1,3012028.128607689,668333.1503546922,12.5,LOW
668_3015,1,3015942.0680962047,668907.2659564053,12.5,LOW
668_3016,2,3016121.5152616203,668409.6563305192,25.0,MODERATE
668_3029,2,3029334.08202185,668491.9819361733,25.0,MODERATE
668_3030,1,3030047.9460559003,668362.6640537272,12.5,LOW
668_3058,2,3058265.726936619,668888.1341590087,25.0,MODERATE
