incident_id,cell_count,max_risk_score,mean_risk_score,max_alert_priority,highest_decision_state,active_alert_cells,latitude,longitude,affected_cells,incident_category,risk_component,mean_risk_component,priority_component,size_component,priority_score,priority_level,priority_rank,priority_recommendation
RISK_ZONE_CLUSTER_98,3,81.55222945797948,75.22883116995676,58.906493878418985,CRITICAL,0,3013717.1710901856,658529.3342061572,"700_491,703_492,704_489",CRITICAL_RISK_ZONE,91.56696249058423,77.07366784395089,94.31086552310516,28.57142857142857,83.05472592747223,P1_CRITICAL,52,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_77,2,80.2237771868779,80.01110488266843,58.978849909003046,CRITICAL,0,3004800.5044235187,650846.000872824,"625_402,626_401",CRITICAL_RISK_ZONE,87.71097028394719,91.68686269216633,94.55111824700018,14.285714285714285,82.87366015653097,P1_CRITICAL,53,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_97,2,81.01012578407418,77.90478089695654,59.22798661612107,CRITICAL,0,3008500.5044235187,658146.000872824,"698_438,699_439",CRITICAL_RISK_ZONE,89.99344149382702,85.25056802026964,95.3783578291633,14.285714285714285,82.82032316213835,P1_CRITICAL,54,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_54,2,81.24838926443408,77.35824456421886,59.19680690642096,CRITICAL,0,3010900.5044235187,638746.000872824,"503_461,506_464",CRITICAL_RISK_ZONE,90.68502985072912,83.58051682669291,95.27482796267893,14.285714285714285,82.77164521740785,P1_CRITICAL,55,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_99,4,80.21605561241363,75.693297072704,58.538365206788455,CRITICAL,0,3046400.5044235187,658821.000872824,"703_817,705_813,706_819,707_821",CRITICAL_RISK_ZONE,87.68855748703692,78.49293640634129,93.08852212768716,42.857142857142854,82.71628296807096,P1_CRITICAL,56,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_118,7,79.21800784058298,72.94572905938713,56.94547836132983,CRITICAL,0,3028636.218709233,666524.5723013955,"776_641,778_639,778_640,782_640,785_639,787_642,790_638",CRITICAL_RISK_ZONE,84.79160400684964,70.09719221658493,87.79946190162381,85.71428571428571,82.69695429323384,P1_CRITICAL,57,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_87,3,79.48898778831631,79.1923296056875,58.66977340479423,CRITICAL,0,3015983.837756852,653529.3342061572,"650_513,652_515,655_512",CRITICAL_RISK_ZONE,85.57815583813836,89.18493089607942,93.52485310463791,28.57142857142857,82.58551243968049,P1_CRITICAL,58,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_108,4,81.04050667390095,73.27217289127296,58.86081531800045,CRITICAL,0,3029850.5044235187,662146.000872824,"738_651,738_654,739_651,739_652",CRITICAL_RISK_ZONE,90.08162567398247,71.09470670632766,94.15919332003416,42.857142857142854,82.58118551028048,P1_CRITICAL,59,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_110,2,80.88048525251459,78.11924639824986,58.96916015499811,CRITICAL,0,3009600.5044235187,662446.000872824,"740_449,743_450",CRITICAL_RISK_ZONE,89.61714428674442,85.90591030030038,94.51894415211454,14.285714285714285,82.56720445569513,P1_CRITICAL,60,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_85,2,80.23085653432115,79.41694248955528,58.91272680124994,CRITICAL,0,3015600.5044235187,652746.000872824,"644_509,645_510",CRITICAL_RISK_ZONE,87.73151893982522,89.8712805353012,94.33156147167885,14.285714285714285,82.46490142647274,P1_CRITICAL,61,Immediate review and prioritized assessment.
